"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2022&region=1-3&cases=ref2022~highmacro~lowmacro~highprice~lowprice~highogs~lowogs~hirencst~lorencst~ng_iif_final&start=2020&end=2050&f=A&linechart=ref2022-d011222a.3-3-AEO2022.1-3~highmacro-d011622a.3-3-AEO2022.1-3~lowmacro-d011222a.3-3-AEO2022.1-3~highprice-d011222a.3-3-AEO2022.1-3~lowprice-d011222a.3-3-AEO2022.1-3~highogs-d011222a.3-3-AEO2022.1-3~lowogs-d011222a.3-3-AEO2022.1-3~hirencst-d011322a.3-3-AEO2022.1-3~lorencst-d011222a.3-3-AEO2022.1-3~ng_iif_final-d011322a.3-3-AEO2022.1-3~ref2022-d011222a.4-3-AEO2022.1-3~highmacro-d011622a.4-3-AEO2022.1-3~lowmacro-d011222a.4-3-AEO2022.1-3~highprice-d011222a.4-3-AEO2022.1-3~lowprice-d011222a.4-3-AEO2022.1-3~highogs-d011222a.4-3-AEO2022.1-3~lowogs-d011222a.4-3-AEO2022.1-3~hirencst-d011322a.4-3-AEO2022.1-3~lorencst-d011222a.4-3-AEO2022.1-3~ng_iif_final-d011322a.4-3-AEO2022.1-3~ref2022-d011222a.5-3-AEO2022.1-3~highmacro-d011622a.5-3-AEO2022.1-3~lowmacro-d011222a.5-3-AEO2022.1-3~highprice-d011222a.5-3-AEO2022.1-3~lowprice-d011222a.5-3-AEO2022.1-3~highogs-d011222a.5-3-AEO2022.1-3~lowogs-d011222a.5-3-AEO2022.1-3~hirencst-d011322a.5-3-AEO2022.1-3~lorencst-d011222a.5-3-AEO2022.1-3~ng_iif_final-d011322a.5-3-AEO2022.1-3~ref2022-d011222a.6-3-AEO2022.1-3~highmacro-d011622a.6-3-AEO2022.1-3~lowmacro-d011222a.6-3-AEO2022.1-3~highprice-d011222a.6-3-AEO2022.1-3~lowprice-d011222a.6-3-AEO2022.1-3~highogs-d011222a.6-3-AEO2022.1-3~lowogs-d011222a.6-3-AEO2022.1-3~hirencst-d011322a.6-3-AEO2022.1-3~lorencst-d011222a.6-3-AEO2022.1-3~ng_iif_final-d011322a.6-3-AEO2022.1-3&map=highmacro-d011622a.3-3-AEO2022.1-3&sourcekey=0"
"Tue Apr 26 2022 15:21:48 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2021-2050)"
High oil price,"Energy Expenditures: Non-Renewable Residential": High oil price,3-AEO2022.59.highprice-d011222a,"billion 2021 $",,40.901543,40.004971,40.072952,39.421749,39.157074,39.083946,39.099995,39.145889,39.509075,39.698406,39.847553,39.995335,40.014977,39.871769,39.735111,39.541145,39.527039,39.56839,39.650986,39.799591,39.966236,40.001007,39.9781,40.052498,40.165356,40.287735,40.413021,40.508835,40.68737,40.842247,"-0.0%"
Low oil price,"Energy Expenditures: Non-Renewable Residential": Low oil price,3-AEO2022.59.lowprice-d011222a,"billion 2021 $",,40.89489,38.975025,39.352661,38.967747,38.789421,38.397675,38.280193,38.415096,38.572498,38.607079,38.735565,38.873169,38.947849,39.009403,39.048615,39.191708,39.191658,39.179726,39.149002,39.153023,39.219318,39.255627,39.283745,39.397617,39.551998,39.579685,39.654324,39.741276,39.825802,39.910324,"-0.1%"
High oil and gas supply,"Energy Expenditures: Non-Renewable Residential": High oil and gas supply,3-AEO2022.59.highogs-d011222a,"billion 2021 $",,40.872314,39.212524,39.063789,37.946323,37.563896,37.47308,37.322533,37.28318,37.461845,37.534622,37.574318,37.591202,37.695473,37.656853,37.572655,37.51186,37.54425,37.553955,37.593616,37.653286,37.709389,37.688908,37.684258,37.70771,37.814808,37.946243,38.015171,38.074673,38.152504,38.311382,"-0.2%"
Low oil and gas supply,"Energy Expenditures: Non-Renewable Residential": Low oil and gas supply,3-AEO2022.59.lowogs-d011222a,"billion 2021 $",,40.903282,40.525928,40.972813,41.103382,40.816711,40.916325,41.167007,41.691582,42.413113,42.855301,43.178238,43.637535,44.228394,44.450401,44.494678,44.824272,44.874516,45.163757,45.379906,45.61335,45.708561,45.682373,45.6091,45.787483,45.987762,46.137726,46.250431,46.341331,46.486618,46.628311,"0.5%"
High renewables cost,"Energy Expenditures: Non-Renewable Residential": High renewables cost,3-AEO2022.59.hirencst-d011322a,"billion 2021 $",,40.875786,39.565804,39.738007,38.959831,38.720905,38.60379,38.676609,38.880184,39.198112,39.405117,39.513527,39.678612,39.823517,39.802258,39.869469,39.811901,39.849274,39.91082,39.980095,40.089867,40.145523,40.263634,40.275414,40.361313,40.453423,40.565773,40.6912,40.820251,40.926697,40.964931,"0.0%"
Low renewables cost,"Energy Expenditures: Non-Renewable Residential": Low renewables cost,3-AEO2022.59.lorencst-d011222a,"billion 2021 $",,40.880623,39.757751,39.848915,39.009789,38.706673,38.505459,38.414497,38.622162,38.915054,39.182331,39.180294,39.229939,39.290825,39.161865,39.15366,39.069286,39.060612,39.133171,39.182587,39.240005,39.307568,39.311878,39.3787,39.250458,39.332802,39.392147,39.47213,39.506584,39.471008,39.38269,"-0.1%"
No Interstate Pipeline Builds,"Energy Expenditures: Non-Renewable Residential": No Interstate Pipeline Builds,3-AEO2022.59.ng_iif_final-d011322a,"billion 2021 $",,40.86702,39.9179,39.894745,39.046574,38.661358,38.587631,38.676651,38.76281,39.195927,39.492714,39.615486,39.83847,39.958462,39.905689,40.041592,40.072392,40.106583,40.230171,40.323051,40.502731,40.664986,40.827019,40.917946,40.996048,41.177414,41.351883,41.468071,41.567101,41.663727,41.770473,"0.1%"
Commercial,"Energy Expenditures: Non-Renewable Commercial",3-AEO2022.60.,"billion 2021 $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Expenditures: Non-Renewable Commercial": AEO2022 Reference case,3-AEO2022.60.ref2022-d011222a,"billion 2021 $",,27.262527,27.906155,26.677755,25.870829,25.490782,25.170982,25.024206,25.134087,25.163605,25.470512,25.520496,25.555023,25.623245,25.559658,25.481148,25.459154,25.468647,25.502254,25.527065,25.630177,25.698011,25.696024,25.732555,25.730612,25.773945,25.849888,25.912315,25.990606,26.043308,26.0826,"-0.2%"
High economic growth,"Energy Expenditures: Non-Renewable Commercial": High economic growth,3-AEO2022.60.highmacro-d011622a,"billion 2021 $",,27.215485,27.698158,26.756184,26.079586,25.736427,25.433571,25.335653,25.430927,25.597948,25.695141,25.794518,26.138147,26.212906,26.178743,26.130995,26.120897,26.185726,26.206308,26.234667,26.32198,26.457211,26.577904,26.672562,26.740452,26.856255,26.946217,26.999498,27.057961,27.152817,27.229702,"0.0%"
Low economic growth,"Energy Expenditures: Non-Renewable Commercial": Low economic growth,3-AEO2022.60.lowmacro-d011222a,"billion 2021 $",,27.310593,27.809593,26.459076,25.697441,25.281185,25.030279,24.700228,24.716623,24.875755,24.9095,24.920988,24.95945,24.985041,25.078756,24.873856,24.751221,24.723337,24.71928,24.722,24.780539,24.875092,24.895359,24.854015,24.841736,24.886486,24.912025,24.925108,24.945948,25.041729,25.066669,"-0.3%"
High oil price,"Energy Expenditures: Non-Renewable Commercial": High oil price,3-AEO2022.60.highprice-d011222a,"billion 2021 $",,27.294407,28.565506,27.335602,26.558357,26.093468,25.870373,25.738792,25.74297,25.939604,25.969791,26.016985,26.103983,26.111658,26.033772,25.946495,25.811914,25.81316,25.806938,25.885651,25.997551,26.109268,26.162605,26.166779,26.244926,26.377945,26.484589,26.617924,26.741131,26.919674,27.068588,"-0.0%"
Low oil price,"Energy Expenditures: Non-Renewable Commercial": Low oil price,3-AEO2022.60.lowprice-d011222a,"billion 2021 $",,27.287491,27.093723,26.222334,25.851013,25.556526,25.067871,24.823067,24.896135,24.962799,24.924837,24.977152,25.037882,25.065718,25.088734,25.107632,25.272127,25.242321,25.209686,25.172941,25.167408,25.212912,25.220961,25.232843,25.293991,25.39222,25.393814,25.442389,25.504034,25.564569,25.61034,"-0.2%"
High oil and gas supply,"Energy Expenditures: Non-Renewable Commercial": High oil and gas supply,3-AEO2022.60.highogs-d011222a,"billion 2021 $",,27.270828,27.480778,26.096844,25.179155,24.757961,24.614773,24.329941,24.29715,24.383942,24.372818,24.370781,24.351809,24.419479,24.382317,24.292202,24.245167,24.243092,24.245626,24.266779,24.332161,24.376713,24.355391,24.343657,24.35445,24.427008,24.533394,24.571684,24.63061,24.709951,24.833944,"-0.3%"
Low oil and gas supply,"Energy Expenditures: Non-Renewable Commercial": Low oil and gas supply,3-AEO2022.60.lowogs-d011222a,"billion 2021 $",,27.299561,28.477959,27.542061,27.32666,26.834156,26.647518,26.706493,27.041386,27.475084,27.682522,27.765251,28.002571,28.406452,28.505199,28.462872,28.713692,28.645599,28.85133,28.987303,29.100603,29.15247,29.099874,29.053295,29.157234,29.29549,29.349718,29.399546,29.446331,29.546606,29.637398,"0.3%"
High renewables cost,"Energy Expenditures: Non-Renewable Commercial": High renewables cost,3-AEO2022.60.hirencst-d011322a,"billion 2021 $",,27.273243,27.744709,26.589024,25.884777,25.505909,25.22374,25.1157,25.235928,25.410542,25.487455,25.530474,25.618172,25.691681,25.673943,25.772778,25.743427,25.759628,25.813534,25.895674,25.974455,26.03447,26.122679,26.119762,26.198387,26.286144,26.385151,26.503105,26.620916,26.706633,26.760096,"-0.1%"
Low renewables cost,"Energy Expenditures: Non-Renewable Commercial": Low renewables cost,3-AEO2022.60.lorencst-d011222a,"billion 2021 $",,27.276751,27.883446,26.661716,25.912119,25.484022,25.146458,24.90346,25.0287,25.189745,25.370377,25.321997,25.296394,25.298454,25.113533,25.052357,24.955151,24.898499,24.916183,24.886497,24.859417,24.8465,24.752689,24.802563,24.632965,24.623459,24.634241,24.656174,24.640806,24.53458,24.418587,"-0.4%"
No Interstate Pipeline Builds,"Energy Expenditures: Non-Renewable Commercial": No Interstate Pipeline Builds,3-AEO2022.60.ng_iif_final-d011322a,"billion 2021 $",,27.266521,28.01832,26.72121,25.961693,25.441057,25.226496,25.123625,25.14603,25.421398,25.564095,25.605528,25.738884,25.794407,25.728931,25.852192,25.871952,25.868923,25.941885,26.01553,26.136742,26.257023,26.32715,26.391388,26.448124,26.566792,26.685953,26.746159,26.791855,26.828114,26.881836,"-0.0%"
Industrial,"Energy Expenditures: Non-Renewable Industrial",3-AEO2022.61.,"billion 2021 $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Expenditures: Non-Renewable Industrial": AEO2022 Reference case,3-AEO2022.61.ref2022-d011222a,"billion 2021 $",,28.279041,28.778877,27.38591,27.22901,26.873568,26.738071,26.728016,27.104149,27.397593,27.765562,28.04933,28.257959,28.443388,28.435581,28.461554,28.529551,28.729971,28.921801,28.995928,29.292076,29.547178,29.741131,29.883812,29.972567,30.074446,30.289331,30.339842,30.359579,30.422228,30.594257,"0.3%"
High economic growth,"Energy Expenditures: Non-Renewable Industrial": High economic growth,3-AEO2022.61.highmacro-d011622a,"billion 2021 $",,28.226496,28.325212,27.437069,27.79071,27.809004,27.86993,28.092697,28.559942,29.12072,29.583241,30.088812,30.723576,31.145298,31.367931,31.623495,31.90938,32.352802,32.86237,33.171066,33.677368,34.21764,34.79055,35.469532,35.978603,36.379345,36.848434,37.160637,37.3727,37.729412,38.135578,"1.0%"
Low economic growth,"Energy Expenditures: Non-Renewable Industrial": Low economic growth,3-AEO2022.61.lowmacro-d011222a,"billion 2021 $",,28.323816,27.618086,25.969778,25.770607,25.373018,25.14381,24.916876,25.163282,25.49118,25.618872,25.757818,25.971462,26.089857,25.980839,25.708523,25.452728,25.410341,25.488947,25.444523,25.612885,25.778797,25.888823,25.842356,25.784714,25.69573,25.763632,25.716875,25.562473,25.567057,25.596241,"-0.3%"
High oil price,"Energy Expenditures: Non-Renewable Industrial": High oil price,3-AEO2022.61.highprice-d011222a,"billion 2021 $",,28.654179,30.559048,30.01269,31.507524,31.703932,31.983601,32.212677,32.747501,33.550854,34.133698,34.602543,35.030739,35.254566,35.384808,35.560379,35.738281,36.140232,36.373894,36.748608,37.22596,37.69899,38.190231,38.629063,38.980587,39.349651,39.720104,40.122906,40.349461,40.632858,41.088528,"1.3%"
Low oil price,"Energy Expenditures: Non-Renewable Industrial": Low oil price,3-AEO2022.61.lowprice-d011222a,"billion 2021 $",,27.925905,26.533859,25.833237,25.316013,24.877148,24.498739,24.315231,24.615191,24.801989,24.867117,25.09164,25.345339,25.588442,25.765453,25.892874,25.986107,26.051315,26.07851,26.002037,25.95903,26.018515,26.005066,26.071629,26.184595,26.231634,26.216263,26.230244,26.278334,26.307835,26.541971,"-0.2%"
High oil and gas supply,"Energy Expenditures: Non-Renewable Industrial": High oil and gas supply,3-AEO2022.61.highogs-d011222a,"billion 2021 $",,28.281277,27.638042,26.060087,26.035006,25.864223,25.825869,25.66324,25.998333,26.28875,26.481588,26.637413,26.731064,26.987185,27.003275,27.046923,27.092375,27.209375,27.301128,27.411129,27.592381,27.810545,27.939323,28.144474,28.334044,28.512081,28.727676,28.956865,29.053757,29.186863,29.495174,"0.1%"
Low oil and gas supply,"Energy Expenditures: Non-Renewable Industrial": Low oil and gas supply,3-AEO2022.61.lowogs-d011222a,"billion 2021 $",,28.492153,29.067482,27.537527,27.975645,27.702341,27.75959,28.044939,28.702612,29.718424,30.33466,30.981506,31.666601,32.385944,32.827854,33.129223,33.613335,33.909904,34.312157,34.655003,34.8535,35.059246,35.162426,35.312492,35.701084,35.96069,36.164608,36.299599,36.285793,36.493874,36.896423,"0.9%"
High renewables cost,"Energy Expenditures: Non-Renewable Industrial": High renewables cost,3-AEO2022.61.hirencst-d011322a,"billion 2021 $",,28.287811,28.024137,26.776005,26.849302,26.625162,26.631304,26.77066,27.231516,27.722347,28.058659,28.328318,28.608585,28.888029,28.944035,29.083559,29.091635,29.263439,29.441408,29.478895,29.73646,29.98241,30.304741,30.372635,30.511137,30.670185,30.865215,30.985119,31.061789,31.153048,31.315197,"0.4%"
Low renewables cost,"Energy Expenditures: Non-Renewable Industrial": Low renewables cost,3-AEO2022.61.lorencst-d011222a,"billion 2021 $",,28.273758,28.149145,26.86978,26.874012,26.581373,26.472376,26.392357,26.849533,27.290911,27.597755,27.765339,27.890583,28.087353,28.138037,28.205435,28.146107,28.295265,28.475901,28.554501,28.759605,29.063753,29.147429,29.261538,29.373306,29.491667,29.656948,29.644691,29.586475,29.614105,29.720385,"0.2%"
No Interstate Pipeline Builds,"Energy Expenditures: Non-Renewable Industrial": No Interstate Pipeline Builds,3-AEO2022.61.ng_iif_final-d011322a,"billion 2021 $",,28.269251,28.884314,27.437346,27.281504,26.862444,26.812057,26.826574,27.166504,27.671425,28.027494,28.293028,28.628107,28.804241,28.828753,29.023186,29.124662,29.336407,29.571712,29.754511,30.148384,30.484375,30.792185,31.005438,31.251469,31.491058,31.750832,31.873497,31.932226,32.078636,32.283554,"0.5%"
Transportation,"Energy Expenditures: Non-Renewable Transportation",3-AEO2022.62.,"billion 2021 $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Expenditures: Non-Renewable Transportation": AEO2022 Reference case,3-AEO2022.62.ref2022-d011222a,"billion 2021 $",,81.139984,80.218506,74.097939,74.477386,73.710358,73.925163,74.163773,74.359497,74.373802,75.105415,75.580925,75.742722,75.753822,75.844841,75.783516,76.028992,76.396652,76.928802,76.867981,77.462975,77.827377,77.903954,78.714935,79.577644,79.908554,80.710823,81.063217,80.967606,81.180977,81.34008,"0.0%"
High economic growth,"Energy Expenditures: Non-Renewable Transportation": High economic growth,3-AEO2022.62.highmacro-d011622a,"billion 2021 $",,80.948189,80.833443,74.979942,76.694008,77.081879,77.689445,78.956802,78.882996,79.196678,80.638977,80.957703,81.785393,81.675522,82.113724,82.602921,82.995926,84.251282,84.940872,85.492622,86.027237,87.368713,88.497009,89.910835,90.478592,91.418457,92.525894,93.168884,94.062294,95.52652,96.562057,"0.6%"
Low economic growth,"Energy Expenditures: Non-Renewable Transportation": Low economic growth,3-AEO2022.62.lowmacro-d011222a,"billion 2021 $",,81.264297,79.675552,72.326294,72.086578,71.133926,70.588264,70.521835,70.36129,70.044357,70.102936,69.74382,70.293419,70.105125,69.596451,69.056007,68.511261,68.425323,68.43087,68.031731,68.731049,69.025085,69.272835,69.963562,70.463211,70.559578,71.240967,71.326729,71.40847,71.724403,71.374802,"-0.4%"
High oil price,"Energy Expenditures: Non-Renewable Transportation": High oil price,3-AEO2022.62.highprice-d011222a,"billion 2021 $",,81.21196,108.584221,112.042694,114.358574,114.396614,116.057678,116.136246,115.938721,115.914482,115.166824,113.636688,113.130554,111.664581,111.711426,111.800232,111.612694,111.616966,110.497009,110.52755,110.106918,109.291679,109.867615,110.156807,109.975655,111.065643,111.283295,112.20784,112.83345,113.379395,114.319611,"1.2%"
Low oil price,"Energy Expenditures: Non-Renewable Transportation": Low oil price,3-AEO2022.62.lowprice-d011222a,"billion 2021 $",,80.952972,60.668755,58.587021,57.14053,56.516647,56.121227,54.90807,55.326012,55.172272,55.363918,55.759727,55.918282,56.281796,56.370872,57.05899,57.223698,57.573662,57.680828,57.500626,57.458984,57.324234,57.506676,57.598595,58.111736,58.233467,58.586689,58.978577,59.326469,59.678013,60.414928,"-1.0%"
High oil and gas supply,"Energy Expenditures: Non-Renewable Transportation": High oil and gas supply,3-AEO2022.62.highogs-d011222a,"billion 2021 $",,81.14048,80.207298,72.857239,71.845795,71.187286,71.359344,71.73835,71.615257,71.489319,71.5858,71.48098,71.449692,71.123466,70.559166,70.268311,70.033058,69.796112,70.15551,70.222641,71.427231,71.900375,72.14328,72.975632,73.577072,73.925789,74.798859,74.701256,75.311668,76.440338,77.485939,"-0.2%"
Low oil and gas supply,"Energy Expenditures: Non-Renewable Transportation": Low oil and gas supply,3-AEO2022.62.lowogs-d011222a,"billion 2021 $",,81.348152,80.276398,73.29171,75.895622,76.09005,76.335693,76.87883,77.531403,79.844666,80.663055,81.414124,82.339691,82.948967,83.524437,83.624306,84.038048,84.560478,84.582733,84.861473,83.64222,83.236275,83.878288,84.636353,85.074951,86.106789,85.928116,85.902779,85.29393,85.759048,86.331398,"0.2%"
High renewables cost,"Energy Expenditures: Non-Renewable Transportation": High renewables cost,3-AEO2022.62.hirencst-d011322a,"billion 2021 $",,81.13942,80.197624,73.623718,73.952934,73.284126,73.474976,73.83551,73.803871,73.976273,74.560165,74.971985,75.468246,75.152023,75.394775,75.588287,75.806923,76.115784,76.604599,76.494438,76.793289,77.202568,77.384033,78.231018,79.05275,79.46209,80.201279,80.539429,80.639908,80.461609,80.810791,"-0.0%"
Low renewables cost,"Energy Expenditures: Non-Renewable Transportation": Low renewables cost,3-AEO2022.62.lorencst-d011222a,"billion 2021 $",,81.137253,80.166023,74.197159,74.419044,73.686913,73.909264,74.076111,74.320824,74.416199,74.975632,75.513023,75.640938,75.713432,75.832916,75.839119,76.062126,76.511345,76.844955,76.844513,77.349289,77.736534,77.8741,78.591583,79.557129,79.951874,80.640564,80.912506,80.887436,81.125854,81.191589,"0.0%"
No Interstate Pipeline Builds,"Energy Expenditures: Non-Renewable Transportation": No Interstate Pipeline Builds,3-AEO2022.62.ng_iif_final-d011322a,"billion 2021 $",,81.139549,80.221741,74.163536,74.484825,73.715965,74.018806,74.139481,74.363045,74.511467,75.077736,75.585884,75.816681,75.794807,75.968163,75.908661,76.103256,76.478287,77.021271,76.957603,77.515892,77.91407,77.923767,78.779465,79.75576,80.100662,80.771904,81.033836,81.384499,81.375504,81.521706,"0.0%"
Total Non-Renewable Expenditures,"Energy Expenditures: Total Non-Renewable",3-AEO2022.63.,"billion 2021 $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Expenditures: Total Non-Renewable": AEO2022 Reference case,3-AEO2022.63.ref2022-d011222a,"billion 2021 $",,177.543091,176.665863,167.979553,166.513458,164.759872,164.35495,164.460815,165.319641,165.841583,167.633728,168.566772,169.068771,169.454742,169.39682,169.192474,169.463562,170.083282,170.898499,171.001602,172.107697,172.891449,173.214661,174.239441,175.180115,175.722534,176.915314,177.45665,177.560822,177.955963,178.385071,"0.0%"
High economic growth,"Energy Expenditures: Total Non-Renewable": High economic growth,3-AEO2022.63.highmacro-d011622a,"billion 2021 $",,177.174377,176.382874,169.160065,169.832397,169.710754,169.917938,171.370117,172.039337,173.384979,175.590546,176.713165,178.957458,179.51149,180.130081,180.79361,181.462845,183.344208,184.633606,185.579193,186.838974,189.037781,191.025757,193.352142,194.614288,196.214752,198.052612,199.18277,200.426117,202.476425,204.130341,"0.5%"
Low economic growth,"Energy Expenditures: Total Non-Renewable": Low economic growth,3-AEO2022.63.lowmacro-d011222a,"billion 2021 $",,177.835602,174.733459,164.2565,162.215851,160.138397,158.998566,158.190521,158.367584,158.826874,159.200592,159.081146,159.950775,159.976044,159.513931,158.241852,157.120544,156.948456,157.035187,156.619354,157.661621,158.350113,158.762436,159.299164,159.699493,159.791763,160.577225,160.626968,160.584839,161.099167,160.852478,"-0.3%"
High oil price,"Energy Expenditures: Total Non-Renewable": High oil price,3-AEO2022.63.highprice-d011222a,"billion 2021 $",,178.062088,207.713745,209.463928,211.846191,211.351089,212.99559,213.187714,213.575073,214.914001,214.968719,214.103775,214.26062,213.045776,213.00177,213.042221,212.704041,213.097382,212.246231,212.812805,213.13002,213.066162,214.221466,214.930756,215.253662,216.958603,217.775726,219.361694,220.432877,221.619293,223.31897,"0.8%"
Low oil price,"Energy Expenditures: Total Non-Renewable": Low oil price,3-AEO2022.63.lowprice-d011222a,"billion 2021 $",,177.061249,153.271362,149.995255,147.275299,145.739746,144.08551,142.326553,143.252441,143.509552,143.762955,144.564087,145.174667,145.883804,146.234467,147.108124,147.673645,148.05896,148.148758,147.824615,147.738449,147.774979,147.988327,148.186798,148.98793,149.409317,149.776443,150.305527,150.850113,151.376221,152.477554,"-0.5%"
High oil and gas supply,"Energy Expenditures: Total Non-Renewable": High oil and gas supply,3-AEO2022.63.highogs-d011222a,"billion 2021 $",,177.564911,174.538635,164.077957,161.006287,159.373367,159.273071,159.054062,159.193909,159.623856,159.974823,160.063492,160.123764,160.225601,159.601608,159.180084,158.882462,158.792831,159.256226,159.494171,161.005066,161.797028,162.126892,163.148026,163.973267,164.679688,166.006165,166.244965,167.070709,168.489655,170.126434,"-0.1%"
Low oil and gas supply,"Energy Expenditures: Total Non-Renewable": Low oil and gas supply,3-AEO2022.63.lowogs-d011222a,"billion 2021 $",,178.043152,178.347778,169.344116,172.3013,171.443253,171.659119,172.797272,174.96698,179.451294,181.535538,183.339111,185.646393,187.969757,189.307892,189.71109,191.189346,191.990494,192.909973,193.883698,193.209671,193.156555,193.822968,194.611237,195.720749,197.350739,197.58017,197.852356,197.367386,198.286148,199.49353,"0.4%"
High renewables cost,"Energy Expenditures: Total Non-Renewable": High renewables cost,3-AEO2022.63.hirencst-d011322a,"billion 2021 $",,177.576263,175.532288,166.726746,165.646851,164.136108,163.933807,164.398483,165.151489,166.307281,167.511398,168.344299,169.373611,169.555252,169.815002,170.314087,170.453888,170.988129,171.770355,171.849106,172.59407,173.36496,174.075089,174.998825,176.123596,176.871826,178.017426,178.718857,179.142868,179.247986,179.851013,"0.0%"
Low renewables cost,"Energy Expenditures: Total Non-Renewable": Low renewables cost,3-AEO2022.63.lorencst-d011222a,"billion 2021 $",,177.56839,175.95636,167.577576,166.214966,164.458984,164.033554,163.786423,164.821228,165.811905,167.126099,167.78064,168.057861,168.390076,168.246353,168.25058,168.232666,168.765717,169.370209,169.468094,170.208313,170.954346,171.08609,172.034378,172.813858,173.399811,174.323898,174.685501,174.621307,174.745544,174.713257,"-0.1%"
No Interstate Pipeline Builds,"Energy Expenditures: Total Non-Renewable": No Interstate Pipeline Builds,3-AEO2022.63.ng_iif_final-d011322a,"billion 2021 $",,177.542343,177.042267,168.216827,166.774597,164.680817,164.644989,164.766327,165.438385,166.800217,168.162048,169.09993,170.022141,170.351929,170.431534,170.825623,171.172272,171.790207,172.765045,173.05069,174.303741,175.320465,175.870117,177.094238,178.451385,179.335922,180.560577,181.121567,181.67569,181.945984,182.457581,"0.1%"
Transportation Renewable Expenditures,"Energy Expenditures: Renewable Transportation",3-AEO2022.64.,"billion 2021 $",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Expenditures: Renewable Transportation": AEO2022 Reference case,3-AEO2022.64.ref2022-d011222a,"billion 2021 $",,0.212318,0.218672,0.205772,0.202166,0.197011,0.193578,0.189411,0.184545,0.178988,0.175836,0.170256,0.164687,0.160258,0.154665,0.148811,0.148835,0.147361,0.146225,0.145958,0.1474,0.148379,0.149186,0.151248,0.15344,0.155165,0.157686,0.159781,0.161151,0.163131,0.165029,"-0.9%"
High economic growth,"Energy Expenditures: Renewable Transportation": High economic growth,3-AEO2022.64.highmacro-d011622a,"billion 2021 $",,0.173453,0.194409,0.211661,0.203241,0.202007,0.198576,0.193573,0.187744,0.183964,0.18117,0.174226,0.169752,0.16409,0.160769,0.158341,0.156608,0.155976,0.155681,0.157105,0.157677,0.161228,0.163522,0.165945,0.168131,0.170936,0.174565,0.177227,0.180012,0.184463,0.188233,"0.3%"
Low economic growth,"Energy Expenditures: Renewable Transportation": Low economic growth,3-AEO2022.64.lowmacro-d011222a,"billion 2021 $",,0.171971,0.191919,0.203768,0.199556,0.194361,0.190102,0.18581,0.180937,0.175501,0.17116,0.164984,0.161837,0.156854,0.152001,0.147443,0.14356,0.141047,0.139568,0.138279,0.139091,0.13981,0.139576,0.141655,0.144642,0.146083,0.148713,0.150394,0.152336,0.154434,0.155292,"-0.4%"
High oil price,"Energy Expenditures: Renewable Transportation": High oil price,3-AEO2022.64.highprice-d011222a,"billion 2021 $",,0.215657,0.263229,0.266739,0.264749,0.259664,0.256406,0.249356,0.241236,0.232209,0.222864,0.212952,0.204408,0.194838,0.1879,0.181453,0.175328,0.170663,0.166522,0.164334,0.162675,0.161018,0.1612,0.161548,0.161596,0.163446,0.164161,0.16557,0.166854,0.168139,0.169701,"-0.8%"
Low oil price,"Energy Expenditures: Renewable Transportation": Low oil price,3-AEO2022.64.lowprice-d011222a,"billion 2021 $",,0.226217,0.181187,0.176348,0.170465,0.166203,0.161781,0.15497,0.151766,0.146539,0.142707,0.139634,0.135216,0.132446,0.130332,0.129032,0.123864,0.122008,0.11713,0.116865,0.117529,0.118098,0.119586,0.121072,0.12319,0.124941,0.127109,0.129475,0.131694,0.134161,0.13698,"-1.7%"
High oil and gas supply,"Energy Expenditures: Renewable Transportation": High oil and gas supply,3-AEO2022.64.highogs-d011222a,"billion 2021 $",,0.172873,0.195832,0.205794,0.199485,0.193593,0.187932,0.183387,0.180564,0.17478,0.169329,0.160518,0.155574,0.154318,0.146583,0.142228,0.142556,0.141265,0.13638,0.137824,0.136161,0.138464,0.139794,0.141651,0.143348,0.145331,0.153744,0.154104,0.156103,0.160183,0.163961,"-0.2%"
Low oil and gas supply,"Energy Expenditures: Renewable Transportation": Low oil and gas supply,3-AEO2022.64.lowogs-d011222a,"billion 2021 $",,0.178209,0.19178,0.206504,0.208871,0.205784,0.202116,0.197967,0.192538,0.190882,0.186595,0.181163,0.176662,0.171881,0.167117,0.162737,0.159654,0.157347,0.155345,0.154877,0.153181,0.152808,0.153972,0.155599,0.157956,0.160054,0.160779,0.161978,0.163232,0.165621,0.16828,"-0.2%"
